[2026-03-30T01:29:48.704Z] SERVER STARTING...
[2026-03-30T01:29:48.884Z] [Mount] Admin API Routes -> /api/admin
[2026-03-30T01:29:48.885Z] [Mount] User API Routes -> /api
[2026-03-30T04:59:53.590Z] SERVER STARTING...
[2026-03-30T04:59:53.716Z] [Mount] Admin API Routes -> /api/admin
[2026-03-30T04:59:53.716Z] [Mount] User API Routes -> /api
[2026-03-30T05:06:11.651Z] [REQUEST] GET /api/profile | Auth: YES | Guest: NO
[2026-03-30T05:06:11.949Z] [REQUEST] GET /api/projects | Auth: YES | Guest: NO
[2026-03-30T05:06:12.183Z] [REQUEST] POST /api/projects | Auth: YES | Guest: NO
[2026-03-30T05:06:12.349Z] [REQUEST] POST /api/projects | Auth: YES | Guest: NO
[2026-03-30T05:06:20.932Z] [REQUEST] GET /api/projects | Auth: YES | Guest: NO
[2026-03-30T05:07:37.814Z] [REQUEST] GET /api/projects | Auth: YES | Guest: NO
[2026-03-30T05:07:39.543Z] [REQUEST] GET /api/projects | Auth: YES | Guest: NO
[2026-03-30T05:07:39.870Z] [REQUEST] GET /api/projects | Auth: YES | Guest: NO
[2026-03-30T05:09:33.251Z] [REQUEST] GET / | Auth: NO | Guest: NO
[2026-03-30T05:09:33.277Z] [REQUEST] GET /css/style.css | Auth: NO | Guest: NO
[2026-03-30T05:09:33.278Z] [REQUEST] GET /js/app.js | Auth: NO | Guest: NO
[2026-03-30T05:09:33.296Z] [REQUEST] GET /js/modules/state.js | Auth: NO | Guest: NO
[2026-03-30T05:09:33.297Z] [REQUEST] GET /js/modules/auth.js | Auth: NO | Guest: NO
[2026-03-30T05:09:33.300Z] [REQUEST] GET /js/modules/navigation.js | Auth: NO | Guest: NO
[2026-03-30T05:09:33.301Z] [REQUEST] GET /js/modules/wizard.js | Auth: NO | Guest: NO
[2026-03-30T05:09:33.302Z] [REQUEST] GET /js/modules/projects_list.js | Auth: NO | Guest: NO
[2026-03-30T05:09:33.302Z] [REQUEST] GET /js/modules/settings.js | Auth: NO | Guest: NO
[2026-03-30T05:09:33.303Z] [REQUEST] GET /js/modules/dashboard.js | Auth: NO | Guest: NO
[2026-03-30T05:09:33.304Z] [REQUEST] GET /js/modules/api.js | Auth: NO | Guest: NO
[2026-03-30T05:09:33.305Z] [REQUEST] GET /js/modules/script.js | Auth: NO | Guest: NO
[2026-03-30T05:09:33.306Z] [REQUEST] GET /js/modules/admin.js | Auth: NO | Guest: NO
[2026-03-30T05:09:33.307Z] [REQUEST] GET /js/modules/samples.js | Auth: NO | Guest: NO
[2026-03-30T05:09:33.324Z] [REQUEST] GET /assets/img/hero_premium.png | Auth: NO | Guest: NO
[2026-03-30T05:09:33.366Z] [REQUEST] GET /js/modules/constants.js | Auth: NO | Guest: NO
[2026-03-30T05:09:33.382Z] [REQUEST] GET /api/samples | Auth: NO | Guest: NO
[2026-03-30T05:09:33.393Z] [REQUEST] GET /favicon.ico | Auth: NO | Guest: NO
[2026-03-30T05:09:33.396Z] [SPA Fallback] Serving index.html for unknown path: /favicon.ico
[2026-03-30T05:11:06.949Z] [REQUEST] GET / | Auth: NO | Guest: NO
[2026-03-30T05:11:06.981Z] [REQUEST] GET /css/style.css | Auth: NO | Guest: NO
[2026-03-30T05:11:06.983Z] [REQUEST] GET /js/app.js | Auth: NO | Guest: NO
[2026-03-30T05:11:06.998Z] [REQUEST] GET /js/modules/state.js | Auth: NO | Guest: NO
[2026-03-30T05:11:06.999Z] [REQUEST] GET /js/modules/auth.js | Auth: NO | Guest: NO
[2026-03-30T05:11:07.000Z] [REQUEST] GET /js/modules/navigation.js | Auth: NO | Guest: NO
[2026-03-30T05:11:07.001Z] [REQUEST] GET /js/modules/wizard.js | Auth: NO | Guest: NO
[2026-03-30T05:11:07.002Z] [REQUEST] GET /js/modules/projects_list.js | Auth: NO | Guest: NO
[2026-03-30T05:11:07.007Z] [REQUEST] GET /js/modules/settings.js | Auth: NO | Guest: NO
[2026-03-30T05:11:07.010Z] [REQUEST] GET /js/modules/dashboard.js | Auth: NO | Guest: NO
[2026-03-30T05:11:07.011Z] [REQUEST] GET /js/modules/api.js | Auth: NO | Guest: NO
[2026-03-30T05:11:07.012Z] [REQUEST] GET /js/modules/script.js | Auth: NO | Guest: NO
[2026-03-30T05:11:07.013Z] [REQUEST] GET /js/modules/admin.js | Auth: NO | Guest: NO
[2026-03-30T05:11:07.013Z] [REQUEST] GET /js/modules/samples.js | Auth: NO | Guest: NO
[2026-03-30T05:11:07.023Z] [REQUEST] GET /assets/img/hero_premium.png | Auth: NO | Guest: NO
[2026-03-30T05:11:07.054Z] [REQUEST] GET /js/modules/constants.js | Auth: NO | Guest: NO
[2026-03-30T05:11:07.069Z] [REQUEST] GET /api/samples | Auth: NO | Guest: NO
[2026-03-30T05:11:07.077Z] [REQUEST] GET /favicon.ico | Auth: NO | Guest: NO
[2026-03-30T05:11:07.079Z] [SPA Fallback] Serving index.html for unknown path: /favicon.ico
[2026-03-30T05:12:02.560Z] [REQUEST] GET /favicon.ico | Auth: NO | Guest: NO
[2026-03-30T05:12:02.562Z] [SPA Fallback] Serving index.html for unknown path: /favicon.ico
[2026-03-30T05:12:02.572Z] [REQUEST] GET /favicon.ico | Auth: NO | Guest: NO
[2026-03-30T05:12:02.574Z] [SPA Fallback] Serving index.html for unknown path: /favicon.ico
[2026-03-30T05:12:18.151Z] [REQUEST] GET /favicon.ico | Auth: NO | Guest: NO
[2026-03-30T05:12:18.153Z] [SPA Fallback] Serving index.html for unknown path: /favicon.ico
[2026-03-30T05:13:22.943Z] [REQUEST] GET /favicon.ico | Auth: NO | Guest: NO
[2026-03-30T05:13:22.945Z] [SPA Fallback] Serving index.html for unknown path: /favicon.ico
[2026-03-30T05:13:28.304Z] [REQUEST] GET / | Auth: NO | Guest: NO
[2026-03-30T05:13:28.366Z] [REQUEST] GET /css/style.css | Auth: NO | Guest: NO
[2026-03-30T05:13:28.367Z] [REQUEST] GET /js/app.js | Auth: NO | Guest: NO
[2026-03-30T05:13:28.410Z] [REQUEST] GET /js/modules/state.js | Auth: NO | Guest: NO
[2026-03-30T05:13:28.411Z] [REQUEST] GET /js/modules/auth.js | Auth: NO | Guest: NO
[2026-03-30T05:13:28.414Z] [REQUEST] GET /js/modules/navigation.js | Auth: NO | Guest: NO
[2026-03-30T05:13:28.415Z] [REQUEST] GET /js/modules/wizard.js | Auth: NO | Guest: NO
[2026-03-30T05:13:28.416Z] [REQUEST] GET /js/modules/projects_list.js | Auth: NO | Guest: NO
[2026-03-30T05:13:28.420Z] [REQUEST] GET /js/modules/settings.js | Auth: NO | Guest: NO
[2026-03-30T05:13:28.421Z] [REQUEST] GET /js/modules/dashboard.js | Auth: NO | Guest: NO
